OM45 Temp (C),OM45 RT/R25,,OM23 Temp (C),OM23 RT/R25,,OM61 Temp (C),OM61 RT/R25,,OMMC Temp (C),OMMC RT/R25,,MF Temp (C),MF RT/R25
72.2,0.094468085,,65.3,0.124680851,,71.6,0.132978723,,79.5,0.067021277,,5,2.7994
70,0.111914894,,64.2,0.14787234,,70,0.150638298,,78.4,0.086808511,,10,2.1406
68,0.135957447,,62.2,0.175106383,,68.1,0.165319149,,75.5,0.108510638,,15,1.6492
66.3,0.160425532,,60.8,0.208085106,,66.5,0.185531915,,73,0.127234043,,20,1.2798
63.7,0.182340426,,58.1,0.225957447,,62.4,0.212765957,,69.8,0.153191489,,25,1
61.7,0.206808511,,55.8,0.252978723,,60.2,0.231276596,,65.2,0.184468085,,30,0.78663
58.6,0.232765957,,53.7,0.276382979,,58.2,0.252553191,,60.9,0.219361702,,35,0.62277
56,0.255957447,,51.6,0.299361702,,56,0.271276596,,57.2,0.248297872,,40,0.4961
53.8,0.284255319,,50,0.32212766,,54.3,0.289361702,,54.5,0.274893617,,45,0.39757
51.7,0.309574468,,48.5,0.342978723,,52.1,0.309574468,,52,0.304893617,,50,0.32044
49.9,0.334042553,,47,0.363617021,,50.5,0.329361702,,49.9,0.331489362,,55,0.2597
47.9,0.355957447,,45.6,0.382765957,,48.7,0.351276596,,47.9,0.352765957,,60,0.21161
46.3,0.379361702,,44.3,0.402765957,,47.5,0.36787234,,46.3,0.373617021,,100,0.048769
44.7,0.398510638,,43,0.419787234,,46.1,0.385531915,,44.8,0.393404255,,150,0.011033
43.5,0.417234043,,42.2,0.434468085,,45,0.402765957,,43.5,0.411489362,,,
42.7,0.433404255,,41.3,0.446808511,,43.8,0.419787234,,42.5,0.428085106,,,
41.6,0.449361702,,40.4,0.458723404,,42.6,0.434468085,,41.6,0.445106383,,,
40.8,0.462340426,,40,0.470638298,,41.8,0.448297872,,40.4,0.465531915,,,
40.1,0.475319149,,39.4,0.480638298,,40.9,0.463404255,,39.6,0.479148936,,,
39.4,0.48787234,,38.9,0.489361702,,40.2,0.476382979,,39,0.49106383,,,
38.7,0.499787234,,38.5,0.497659574,,39.6,0.486808511,,38.4,0.502978723,,,
38.1,0.511276596,,38.1,0.502978723,,39.1,0.497234043,,37.9,0.512340426,,,
37.5,0.522765957,,37.9,0.509148936,,38.4,0.508085106,,37.5,0.519574468,,,
36.9,0.534042553,,37.6,0.515319149,,37.9,0.51787234,,37.1,0.527446809,,,
36.4,0.543404255,,37.2,0.519574468,,37.4,0.527446809,,36.8,0.534042553,,,
35.9,0.551702128,,37,0.524680851,,37,0.536170213,,36.5,0.540212766,,,
35.6,0.559574468,,36.8,0.52787234,,36.7,0.542340426,,36.3,0.545531915,,,
35.1,0.567446809,,36.6,0.532553191,,36.4,0.548085106,,36,0.552765957,,,
34.9,0.573617021,,36.5,0.536595745,,36,0.553404255,,35.6,0.558510638,,,
27.8,0.779361702,,25.9,0.833829787,,35.8,0.559574468,,35.4,0.563191489,,,
,,,,,,35.4,0.567446809,,35.3,0.566382979,,,
,,,,,,35.2,0.574042553,,35.1,0.570425532,,,
,,,,,,35,0.578297872,,35,0.573191489,,,
,,,,,,27,0.796595745,,27.3,0.773191489,,,
